Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Basic_Advanced_Assertion_Browser_Operations,Chrome 122.0.0.0,,,02-03-2024 18:38:10,02-03-2024 18:39:03,52.875s,PASSED
,,,,,,,
Test Cases/Browser operations in Katalon/TC_001 Basic_Advanced Browser Operations,Chrome 122.0.0.0,,,02-03-2024 18:38:10,02-03-2024 18:38:50,39.710s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,02-03-2024 18:38:10,02-03-2024 18:38:11,0.487s,ERROR
"openBrowser("""")",Chrome 122.0.0.0,,,02-03-2024 18:38:11,02-03-2024 18:38:13,2.188s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,02-03-2024 18:38:13,02-03-2024 18:38:18,5.336s,PASSED
getWindowTitle(),Chrome 122.0.0.0,,,02-03-2024 18:38:18,02-03-2024 18:38:18,0.034s,PASSED
print(getWindowTitle()),Chrome 122.0.0.0,,,02-03-2024 18:38:18,02-03-2024 18:38:18,0.031s,PASSED
getUrl(),Chrome 122.0.0.0,,,02-03-2024 18:38:18,02-03-2024 18:38:19,0.033s,PASSED
getWindowIndex(),Chrome 122.0.0.0,,,02-03-2024 18:38:19,02-03-2024 18:38:19,0.102s,PASSED
currentTab = getWindowIndex(),Chrome 122.0.0.0,,,02-03-2024 18:38:19,02-03-2024 18:38:19,0.057s,PASSED
maximizeWindow(),Chrome 122.0.0.0,,,02-03-2024 18:38:19,02-03-2024 18:38:19,0.457s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,02-03-2024 18:38:19,02-03-2024 18:38:20,0.385s,PASSED
delay(3),Chrome 122.0.0.0,,,02-03-2024 18:38:20,02-03-2024 18:38:23,3.039s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,02-03-2024 18:38:23,02-03-2024 18:38:24,1.046s,PASSED
delay(3),Chrome 122.0.0.0,,,02-03-2024 18:38:24,02-03-2024 18:38:27,3.015s,PASSED
back(),Chrome 122.0.0.0,,,02-03-2024 18:38:27,02-03-2024 18:38:27,0.581s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,02-03-2024 18:38:27,02-03-2024 18:38:28,0.464s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,02-03-2024 18:38:28,02-03-2024 18:38:38,10.162s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,02-03-2024 18:38:38,02-03-2024 18:38:39,0.801s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 122.0.0.0,,,02-03-2024 18:38:39,02-03-2024 18:38:39,0.664s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,02-03-2024 18:38:39,02-03-2024 18:38:41,1.507s,PASSED
delay(3),Chrome 122.0.0.0,,,02-03-2024 18:38:41,02-03-2024 18:38:44,3.007s,PASSED
forward(),Chrome 122.0.0.0,,,02-03-2024 18:38:44,02-03-2024 18:38:44,0.048s,PASSED
back(),Chrome 122.0.0.0,,,02-03-2024 18:38:44,02-03-2024 18:38:44,0.480s,PASSED
"switchToWindowTitle(""CURA Healthcare Service"")",Chrome 122.0.0.0,,,02-03-2024 18:38:44,02-03-2024 18:38:44,0.068s,PASSED
getWindowIndex(),Chrome 122.0.0.0,,,02-03-2024 18:38:44,02-03-2024 18:38:44,0.011s,PASSED
"closeWindowTitle(""CURA Healthcare Service"")",Chrome 122.0.0.0,,,02-03-2024 18:38:44,02-03-2024 18:38:45,0.209s,PASSED
delay(3),Chrome 122.0.0.0,,,02-03-2024 18:38:45,02-03-2024 18:38:48,3.017s,PASSED
